,Day,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
91,2020-11-14,United Kingdom,2020-11-15 05:26:53,-7.9467,-14.3559,2,0,2.0,0.0,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",,
92,2020-11-14,United Kingdom,2020-11-15 05:26:53,56.4907,-4.2026,80135,3280,0.0,76855.0,"Scotland, United Kingdom",1466.7874727728665,4.093092905721595
93,2020-11-14,United Kingdom,2020-11-15 05:26:53,21.69400000000001,-71.7979,720,6,695.0,19.0,"Turks and Caicos Islands, United Kingdom",1859.6001859600185,0.8333333333333334
94,2020-11-14,United Kingdom,2020-11-15 05:26:53,,,0,0,0.0,0.0,"Unknown, United Kingdom",,
95,2020-11-14,United Kingdom,2020-11-15 05:26:53,52.1307,-3.7837,64881,2191,0.0,62690.0,"Wales, United Kingdom",2067.1955649015486,3.3769516499437437
96,2020-11-15,United Kingdom,2020-11-16 05:25:57,18.2206,-63.0686,3,0,3.0,0.0,"Anguilla, United Kingdom",19.99733368884149,0.0
97,2020-11-15,United Kingdom,2020-11-16 05:25:57,32.3078,-64.7505,222,9,189.0,24.0,"Bermuda, United Kingdom",356.4947890739165,4.0540540540540535
98,2020-11-15,United Kingdom,2020-11-16 05:25:57,18.4207,-64.64,71,1,70.0,0.0,"British Virgin Islands, United Kingdom",234.8116545953633,1.4084507042253518
99,2020-11-15,United Kingdom,2020-11-16 05:25:57,19.3133,-81.2546,254,1,240.0,13.0,"Cayman Islands, United Kingdom",386.488131466829,0.3937007874015748
100,2020-11-15,United Kingdom,2020-11-16 05:25:57,49.3723,-2.3644,1003,48,816.0,139.0,"Channel Islands, United Kingdom",588.2732450043695,4.7856430707876365
101,2020-11-15,United Kingdom,2020-11-16 05:25:57,52.3555,-1.1743,1174979,45592,0.0,1129387.0,"England, United Kingdom",2099.031391352193,3.8802395617283367
102,2020-11-15,United Kingdom,2020-11-16 05:25:57,-51.7963,-59.5236,15,0,13.0,2.0,"Falkland Islands (Malvinas), United Kingdom",430.66322136089576,0.0
103,2020-11-15,United Kingdom,2020-11-16 05:25:57,36.1408,-5.3536,902,1,754.0,147.0,"Gibraltar, United Kingdom",2677.272862188715,0.11086474501108648
104,2020-11-15,United Kingdom,2020-11-16 05:25:57,54.2361,-4.5481,363,25,329.0,9.0,"Isle of Man, United Kingdom",426.89810894721984,6.887052341597795
105,2020-11-15,United Kingdom,2020-11-16 05:25:57,16.742498,-62.187366000000004,13,1,12.0,0.0,"Montserrat, United Kingdom",260.05201040208044,7.6923076923076925
106,2020-11-15,United Kingdom,2020-11-16 05:25:57,54.7877,-6.4923,46831,855,0.0,45976.0,"Northern Ireland, United Kingdom",2488.892431972789,1.825713736627448
107,2020-11-15,United Kingdom,2020-11-16 05:25:57,-7.9467,-14.3559,2,0,2.0,0.0,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",,
108,2020-11-15,United Kingdom,2020-11-16 05:25:57,56.4907,-4.2026,81294,3280,0.0,78014.0,"Scotland, United Kingdom",1488.0017571797266,4.034738111053707
109,2020-11-15,United Kingdom,2020-11-16 05:25:57,21.69400000000001,-71.7979,720,6,695.0,19.0,"Turks and Caicos Islands, United Kingdom",1859.6001859600185,0.8333333333333334
110,2020-11-15,United Kingdom,2020-11-16 05:25:57,,,0,0,0.0,0.0,"Unknown, United Kingdom",,
111,2020-11-15,United Kingdom,2020-11-16 05:25:57,52.1307,-3.7837,66214,2207,0.0,64007.0,"Wales, United Kingdom",2109.6667303893455,3.3331319660494763
112,2020-11-16,United Kingdom,2020-11-17 05:25:54,18.2206,-63.0686,3,0,3.0,0.0,"Anguilla, United Kingdom",19.99733368884149,0.0
113,2020-11-16,United Kingdom,2020-11-17 05:25:54,32.3078,-64.7505,223,9,189.0,25.0,"Bermuda, United Kingdom",358.1006214571323,4.035874439461884
114,2020-11-16,United Kingdom,2020-11-17 05:25:54,18.4207,-64.64,71,1,70.0,0.0,"British Virgin Islands, United Kingdom",234.8116545953633,1.4084507042253518
115,2020-11-16,United Kingdom,2020-11-17 05:25:54,19.3133,-81.2546,257,2,240.0,15.0,"Cayman Islands, United Kingdom",391.05295191722456,0.7782101167315175
116,2020-11-16,United Kingdom,2020-11-17 05:25:54,49.3723,-2.3644,1046,48,816.0,182.0,"Channel Islands, United Kingdom",613.4933342717552,4.588910133843212
117,2020-11-16,United Kingdom,2020-11-17 05:25:54,52.3555,-1.1743,1194402,45783,0.0,1148619.0,"England, United Kingdom",2133.7294469891312,3.833131558721436
118,2020-11-16,United Kingdom,2020-11-17 05:25:54,-51.7963,-59.5236,15,0,13.0,2.0,"Falkland Islands (Malvinas), United Kingdom",430.66322136089576,0.0
