,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
120,363,25,329.0,9.0,426.89810894721984,6.887052341597795
121,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
122,47162,869,0.0,46293.0,2506.483843537415,1.842585132097876
123,3,0,2.0,0.0,,
124,82011,3286,0.0,78725.0,1501.1256932623141,4.006779578349247
125,720,6,695.0,19.0,1859.6001859600185,0.8333333333333334
126,0,0,0.0,0.0,,
127,67106,2209,0.0,64897.0,2138.0870451793794,3.291806991923226
128,3,0,3.0,0.0,19.99733368884149,0.0
129,223,9,189.0,25.0,358.1006214571323,4.0358744394618835
130,71,1,70.0,0.0,234.8116545953633,1.4084507042253518
131,257,2,241.0,14.0,391.05295191722456,0.7782101167315175
132,1046,48,818.0,180.0,613.4933342717552,4.588910133843212
133,1211951,46301,0.0,1165650.0,2165.079711025204,3.8203689753133583
134,15,0,13.0,2.0,430.66322136089576,0.0
135,915,2,775.0,138.0,2715.8588347036302,0.2185792349726776
136,364,25,332.0,7.0,428.0741367955593,6.868131868131868
137,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
138,47711,878,0.0,46833.0,2535.6611394557817,1.84024648403932
139,3,0,2.0,0.0,,
140,83259,3323,0.0,79936.0,1523.9690297073196,3.9911601148224216
141,720,6,695.0,19.0,1859.6001859600185,0.8333333333333334
142,0,0,0.0,0.0,,
143,67811,2243,0.0,65568.0,2160.5492894921304,3.307722935806875
144,3,0,3.0,0.0,19.99733368884149,0.0
145,224,9,196.0,19.0,359.7064538403482,4.017857142857143
146,71,1,70.0,0.0,234.8116545953633,1.4084507042253518
147,258,2,243.0,13.0,392.5745587340231,0.7751937984496124
148,1068,48,852.0,168.0,626.3966357573945,4.49438202247191
149,1229140,46724,0.0,1182416.0,2195.786856077117,3.801357046390159
150,16,0,13.0,3.0,459.37410278495554,0.0
151,926,2,790.0,134.0,2748.508503754712,0.2159827213822894
152,364,25,332.0,7.0,428.0741367955593,6.868131868131868
153,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
154,48229,889,0.0,47340.0,2563.190901360544,1.8432893072632648
155,3,0,3.0,0.0,,
156,84523,3377,0.0,81146.0,1547.105229440082,3.995362209102848
157,720,6,695.0,19.0,1859.6001859600185,0.8333333333333334
158,0,0,0.0,0.0,,
159,68449,2284,0.0,66165.0,2180.876824061684,3.3367908954111822
160,3,0,3.0,0.0,19.99733368884149,0.0
161,226,9,200.0,17.0,362.9181186067798,3.982300884955752
